NO,제목,작성자,작성일,조회수,첨부파일,url,content
12385,[장학공지] 2023학년도 1학기 국가장학금 2유형 선발기준 안내,장학·복지팀,2023-05-26,211,0,https://www.gachon.ac.kr/commonNotice/kor/86860/artclView.do,"★ 해당 공지사항은 국가장학금2유형 장학생 선발기준에 대하여 안내하는 공지입니다. 대상자 선발 후 선발 여부 확인방법, 금액확인방법, 장학금 지급일 등은 6월초 공지 예정입니다.  1. 국가장학금 2유형이란?   한국장학재단으로부터 지급받은 국고 예산내에서 학교 자체 기준을 수립하여 학생에게 지급하는 장학금  2. 지급금액 - 수업료 범위 내 수혜 가능 금액 전액 (등록금 - 기존수혜 장학금 = 수혜가능금액) ※ 한국장학재단 지침에 의거 지원가능금액 10만원 미만자 제외(과소지급 방지)  3. 선발기준  가. 국가장학금 1유형 수혜 대상 학생 나. 소득분위별 성적기준     소득분위  성적기준  비고    0~4분위  신입생군 우선선발  학기초과자 제외 계절학기 성적 합산 불가능  ※ 2023-2학기부터  백분율 85점이상으로 상향 예정    재학생: 직전학기 백분율 80점이상, 취득학점 12학점 이상 (졸업학기 9학점)    5~9분위  신입생군 우선선발      재학생: 직전학기 백분율 85점이상, 취득학점 12학점 이상 (졸업학기 9학점)    다. (가)(나) 항목을 충족하는 대상자중 낮은소득분위부터 예산소진시까지 순차적으로 지급  라. 소득분위순 + 동일소득분위 내에서 성적순으로 지급(0구간 신입생→0구간재학생 성적순→...→5구간 신입생→5구간재학생 성적순...→9구간 재학생 성적순)  '예산소진시까지' 란 ex) 3분위 재학생이 95.5점까지 지급후 예산 소진 되는 경우  ""0~2분위, 3분위 신입생, 3분위 95.5점 이상"" 수혜가능 // ""3분위 95.4점 이하, 4~9분위"" 수혜불가능  ※ 2023-1학기 신입생군(신입학 ,편입학, 재입학생) 동일 소득구간 내 우선 선발   * 우리 대학은 모든 변동 사항에 대한 확인이 완료된 후 국가장학금 2유형을 지급하고 있습니다. (국가장학금 1유형 등 타 장학금 지급 완료, 학자금 지원 구간 변경, 성적 추후 반영 등) 이로 인해 지급 시점이 늦어지는 점 학생 여러분의 많은 양해 바랍니다.     문의   - 글로벌캠퍼스: 031)750-5130, 5059   - 메디컬캠퍼스: 032)820-4062   국가장학금 2유형은 대학자체기준으로 선발되나, 모든 사항은 한국장학재단 지침(업무처리기준)에 의거 운영됩니다."
12384,[장학공지] (학비보조)2023학년도 제2기 산학협동재단 디딤돌 장학생 선발 안내,장학·복지팀,2023-05-26,282,3,https://www.gachon.ac.kr/commonNotice/kor/86852/artclView.do,"(재)산학협동재단의 요청에 따라,  경제적으로 어려움을 겪고 있는  2023학년도 신입생을 대상으로 자신의 꿈을 적극적으로 실현해 나갈 수 있도록 시행하는 '2023학년도 제2기 산학협동재단 디딤돌 장학생 선발'을 아래와 같이 안내합니다.  1. 지원자격     - 2023-1학기 한국장학재단 학자금지원구간 0~8분위 해당자로서 장학금 수혜자     - 사회적 배려 대상자(기초생활수급자/차상위계층, 한부모 및 다문화가정, 새터민,        자립준비청년 등 해당 기관 발행 증빙 서류 제출 가능자)     - 2023학년도 신입생으로서 1학기 성적 우수자     ※ 사회적 배려 대상자 2개 이상 해당자 우선 선발(성적 1순위 4.0이상시, 2순위 3.5 이상시)     ※ 지원제한 : 타 재단/기관 장학금(등록금 성격) 등의 수혜를 받는 학생 등(한국장학재단 제외)     ※ 교내장학금 수혜자의 경우 한국장학재단 70% 이상 수혜자는 지원 가능   2. 선발인원 : 2023학년도 국내 4년제 대학교 신입생 20명 내외      ※ 의학계열 등 5~6년 교육과정 학과(부) 제외 3. 지원금액 : 학업보조비(생활비) 월 80만원      ※ 매월 지급 / 계속장학생 학기별 심사 후 지원 4. 제출서류(반드시 원본제출, 서류미제출시 미심사)     1) 장학금 신청서, 자기소개서, 개인(신용)정보 수집·이용·제공 및 조회 동의서,        서약서 각 1부(재단양식)     2) 2023년도 1학기 성적증명서 1부(대학 사정에 의한 발급 불가시 추후 제출 가능)     3) 경제상황 증명서류(서식Ⅲ 참고) 1부     4) 장학금 수령을 위한 신청자 명의의 은행계좌 확인서 1부     5) 2023년도 1학기 한국장학재단 학자금지원구간통지서 1부  4. 대학 추천인원 : 1명 5. 신청 기한 및 장소 : 2023.7.17(월).12:00까지 도착분만 인정                글로벌캠퍼스 소속 학생은 장학복지팀,                 메디컬캠퍼스 소속 학생은 학생복지팀으로 원본 제출 6. 기타사항 : 1) 학교 선발심사 동점시 성적순으로 선발                   2) 첨부내용과 상이한 부분은 본 공고내용을 우선 적용, 기타 세부사항은 첨부 참조"
12383,[학사공지_학사] 2023-2학기 휴학 및 휴학연기 안내,학사지원팀,2023-05-26,279,1,https://www.gachon.ac.kr/commonNotice/kor/86851/artclView.do,2023-2학기 휴학 및 휴학연기 안내  1. 신청기간     구분  신청기간  비고    미등록 휴학  (1차) 2023.06.22(목)   ~   08.18(금)       -등록금(수업료) 납부 없이 휴학신청  -등록금(수업료) 납부자도 미등록 휴학기간에 휴학신청 가능    (2차) 2023.10.02.(월)   ~   10.06(금)        등록 휴학  (1차) 2023.09.25(월)   ~   09.29(금)       -등록금(수업료) 납부자에 한해 휴학신청  -2차 신청기간 마감일 이후 일반휴학 신청불가    (2차) 2023.10.09(월)   ~   10.19(목)        휴학연기  2023.07.10(월)   ~   08.31(목)       -2023-2학기 복학예정자가 휴학을 연장하고자 하는 경우     2. 휴학절차 등 세부사항 : 첨부파일을 반드시 확인바랍니다.  □ 문의처 글로벌▶ 학사지원팀 (박정규 ☎ 031-750-5726)                        메디컬▶ 교무학사팀 (김보경 ☎ 032-820-4053)
12382,[취업소식] [히든챔피언 채용공고] A+에셋 영업관리/경영지원 부문 추천채용 (~5/30),대학일자리플러스센터,2023-05-26,58,2,https://www.gachon.ac.kr/commonNotice/kor/86844/artclView.do,"히든챔피언 채용공고  1. 기업정보     기업명  (주)에이플러스에셋  주소지  서울시 서초구 강남대로 369, 에이플러스에셋타워 19층    홈페이지  www.aplusga.com        2. 채용정보     부문   모집직무  직무내용  인원  근무지    영업관리   -마케팅기획  -상품기획  -영업지원   -매출 및 손익관리  -상품분석/마케팅전략수립  -시장정보 수집/분석  -법인마케팅  00명  서울 인천 수원 대구    경영지원   -인사/재무  -상품전략  -제도/전략기획   -인사기획/운영, 자금/회계관리  -상품기획/운영관리  -영업전략 및 제도 기획/추진     3. 지원자격     공통사항   -학사 이상 기졸업자 또는 2023년 8월 졸업예정자  -2023년 7월 입사가능자  -해외여행에 결격사유가 없으신 분  -남성의 경우 군필 또는 면제자    우대사항   -군전역(예정)장교  -상경계 전공 및 금융 전문 자격 소지자(AFPK·CFP 등)  -지방 근무 가능자(대구)    추천혜택   학교 추천인원에 대해 서류전형 가산점 부여     4. 지원방법     마감기한  ~'23.06.11.(일)까지 지원서 접수 마감     지원서류  하단 첨부파일 입사지원서 양식    지원방법  이메일 제출 (hhj2022@gachon.ac.kr)    전형절차  서류심사 > 인성검사(온라인) > 1차면접 > 2차면접 > 최종입사    문의사항  Tel)02-2009-5387, Email)recruit@aplusga.com    *세부내용은 하단 첨부 파일을 참고해주세요.  4. 담당자     담당자  홍현정  연락처  031-750-5725    이메일  hhj2022@gachon.ac.kr"
12381,[학생소식] 성남시 청년지원센터 청년역량강화사업 [청년 클래스 메이트] 안내,학생지원팀,2023-05-26,66,2,https://www.gachon.ac.kr/commonNotice/kor/86843/artclView.do,"1. 성남시 청년지원센터 청년이봄에서는 청년역량강화사업 [청년 클래스 메이트]를 통해 청년의 다양한 역량을 강화하고 아이디어와 가치 실현의 기회를 제공하고자 합니다. 2. 이에 안내드리오니 많은 참여바랍니다.    가. 사 업 명: 성남시 청년역량강화사업 [청년 클래스 메이트]   나. 접수기간: 5. 15.(월) ~ 5. 31.(수)   다. 내    용: 다양한 경험과 지식을 공유하는 재능활용 청년 커뮤니티   라. 제출형식: 통합 신청서 작성 후 이메일(snboom@snyouth.or.kr) 제출   마. 공고링크: https://snspring.or.kr/noticeView.do?idx=1165   바. 문    의: 유선(070-4908-2091), 카카오채널 ‘성남시 청년지원센터 청년이봄’등  붙임  1. 청년클래스메이트 클래스리더 모집 포스터 1부.        2. 청년클래스메이트 클래스리더 모집 공고문 및 신청서 1부.  끝."
12380,[취업소식] [히든챔피언 채용공고] 서울자동차대여사업조합 법무및행정 부문 추천채용 (~5/30),대학일자리플러스센터,2023-05-26,202,2,https://www.gachon.ac.kr/commonNotice/kor/86840/artclView.do,"히든챔피언 채용공고  1. 기업정보     기업명  서울특별시자동차대여사업조합  기업구분  비영리단체     주요사업  서울특별시 위임 행정업무 및 자동차대여사업 업계 공동발전을 위한 사업    홈페이지  http://www.scra.or.kr     기업소개  우리 조합은 국가 교통정책에 관해 협력하고 국내외의 관광사업 진흥과 외화획득 및 서비스 산업 발전 조합원 상호 간의 공동이익 및 자동차대여사업이 건전한 발전과 공익에 기여함을 목적으로 하여 2003년 01월 30일 서울특별시장의 인가를 받아 설립되었습니다. 끊임없는 연구 및 회원사와의 소통 등을 통해 자동차대여사업 공동발전의 초석을 마련하고 시대가 요구하는 새로운 패러다임을 구축하여 자동차대여사업이 미래 지향적인 산업으로서 자리매김할 수 있도록 선도적인 역할을 수행합니다.     2. 채용정보     채용분야   법무 및 행정업무 1명    수행직무   법무: 유관 기관의 법령개정 및 시행 등에 대한 유권해석 및 의견회신, 정책연구 업무 등     행정업무: 서울시 위탁 행정업무 수행 등(영업소·예약소 관리 및 대폐차 업무)    응시자격   ○ 성별: 무관  ○ 나이: 무관  ○ 모집구분: 신입(정규직)  ○ 법정계열 전공자 (졸업예정자도 가능)   - 업무 관련 전공자 및 자격증 소지자 우대   - 법무 및 행정 등의 전반전인 업무    연봉수준   신입: 3천 2백만  ※ 퇴직금, 초과근무수당 별도    근무시간   09:00~18:00 (주 5일)    기타사항   4대보험 가입, 건강검진, 연차휴가, 단체보험, 창립기념일, 근로자의 날 휴무 등    추천혜택   서류전형 가점 부여       3. 지원방법     마감기한  ~'23.05.30.(화) 11:00 지원서 접수 마감     지원서류  *첨부파일 지원 양식 ① 입사지원서 및 자기소개서 각 1부 (*별지서식 제1호, 제2호) ② 개인정보수집활용 동의서 1부 (*별지서식 제3호) ③ 최종학교 졸업증명서 및 성적증명서 각 1부 ④ 기타 자격증명서 (*소지자에 한함)    지원방법  이메일 제출 (hhj2022@gachon.ac.kr)    전형절차  서류심사 > 면접심사 > 채용검진 및 입사    문의사항  02-525-9076    *세부내용은 하단 첨부 파일을 참고해주세요.  4. 담당자     담당자  홍현정  연락처  031-750-5725    이메일  hhj2022@gachon.ac.kr"
12379,[학생소식] 2023년 한글 원천 아이디어 콘텐츠 공모전 안내,학생지원팀,2023-05-26,59,1,https://www.gachon.ac.kr/commonNotice/kor/86835/artclView.do,"1. 한국디자인진흥원이 문화체육관광부, 국립한글박물관과 함께 운영하고 있는 '2023년 한글 원천 아이디어 콘텐츠 공모전(한글 아이디어 공모부문)'을 다음과 같이 안내드립니다. 2. 관심있는 학생들의 많은 참여바랍니다.     □ 목적: 한글 문화 산업 활성화를 위한 다양한 한글 소재 문화 상품 아이디어 발굴 및 인식 확산   □ 주체기관: (주최) 문화체육관광부, 국립한글박물관, (주관) 한국디자인진흥원   □ 모집개요     ㅇ 참가자격 : 한글 소재의 창의적인 디자인 아이디어를 갖고 있는 누구나(개인/팀/기업)     ㅇ 선정절차 : 접수 → 1차 서류평가 → 2차 현물심사 → 최종 선정     ㅇ 공모부문 : 한글을 소재로 한 창의적인 디자인 아이디어, 초기 개발 단계 콘셉트 등의 작품     ㅇ 시상내역       - 대상 : 상장, 상금 800만원       - 금상 : 상장, 상금 각 500만원       - 은상 : 상장, 상금 각 300만원       - 동상 : 상장, 상금 각 100만원       - 입선 : 상장, 상금 각 50만원   □ 접수기간: 2023. 4. 21.(금) ~ 6. 9.(금)까지   □ 접수방법: 온라인 접수     ㅇ 공고 및 신청방법 :http://www.hangeulaward.co.kr   □ 문의처     ㅇ 한국디자인진흥원 글로벌확산실 '한글 원천 아이디어 콘텐츠 공모전' 담당자 T. 031-780-2227/2263 E. hangeul@kidp.or.kr   붙임  한글 원천 아이디어 콘테츠 공모전 포스터 1부.  끝."
12378,[장학공지] 2023년 학부모와 함께하는 장애학생 진로취업 설명회 안내,장애학생지원센터,2023-05-25,66,2,https://www.gachon.ac.kr/commonNotice/kor/86818/artclView.do,"가. 사업명 : 학부모와 함께하는 장애학생 진로취업 설명회  나. 일   시 : 2023.06.28(수) 14:00-17:00  다. 장   소 : 강남대학교 샬롬관 204호  라. 대   상 : 경기권역 장애대학생 및 학부모  마. 신청방법, 교육내용 및 일정 : ""붙임1"" 참조   붙임 : 1. 설명회 안내문 1부            2. 포스터 1부"
12377,[장학공지] 2023년 케이티그룹희망나눔재단 'KT랜선야학 인천/경기권역 대학생 멘토' 추가(연장) 선발 안내,장학·복지팀,2023-05-25,104,2,https://www.gachon.ac.kr/commonNotice/kor/86817/artclView.do,"케이티그룹희망나눔재단의 요청에 따라, 대학생의 경제적 지원과 청소년의 학습 능력 향상을 위한  비대면 학습 멘토링 프로그램인 'KT랜선야학 인천/경기권역 대학생 멘토 선발'을 아래과 같이 안내합니다.  1. 프로그램명 : KT랜선야학(夜學) 인천/경기지역 2. 교육대상 : 인천/경기지역 중·고등학생 3. 장학금 : 활동비 시간당 3만원(월 48만원 내외)  4. 활동내용 및 지원자격 : 첨부참조 5. 선발 및 추천 인원     1) 글로벌캠퍼스 10명(학습멘토링 5명, AI코딩 5명) - 기 신청기한 신청자 우선 선발, 나머지 TO선발    2) 메디컬캠퍼스 6명(학습멘토링 3명, AI코딩 3명) - 기 신청기한 신청자 우선 선발, 나머지 TO선발    3) 모집 분야별 소속 캠퍼스 결원발생시 타 캠퍼스에서 결원인원 만큼 선발    4) 최종 선발은 재단에서 10명 선발 예정(학습멘토링 5명, AI코딩 5명) 6. 제출서류(원본) - 미제출 서류는 심사시 미인정     - 지원서1,2,3(첨부양식) : 신청서, 자기소개서, 멘토 재량활동 계획서(코딩지원자 계획서 미제출) 각 1부     - 증빙 자료 :  재학증명서, 성적증명서 각 1부 7. 신청기한 : 2023.5.26(금)까지 글로벌캠퍼스 소속 학생은 장학복지팀, 메디컬캠퍼스 소속 학생은                   학생복지팀으로 원본 직접 제출(촉박한 시행 일정에 대한 양해를 바람) 8. 기타사항 : 기타 자세한 사항은 첨부 안내내용 참조"
12376,[학생소식] (채용특전) 제2회 교원그룹 AI 챌린지 - 생성 AI기반 에듀테크 사업 제안 대회 안내,학생지원팀,2023-05-25,61,1,https://www.gachon.ac.kr/commonNotice/kor/86816/artclView.do,"1. 교원그룹이 주최하고 인공지능팩토리가 주관하는 ‘제2회 교원그룹 AI 챌린지 - 생성AI기반 에듀테크 사업 제안 대회’ 가 아래와 같이 개최됩니다. 2. 많은 학생들의 참여바랍니다.     가. 대회명 : (채용특전) 제2회 교원그룹 AI 챌린지 - 생성AI기반 에듀테크 사업 제안 대회   나. 대회주제 : 생성형 AI를 활용한 에듀테크 비즈니스 아이디어, 사업모델 제안 및 MVP개발   다. 참가접수 및 팀병합 : 5월 18일(목) ~ 6월 13일(화)  23:59   라. 주최 : 교원그룹   마. 주관 : 인공지능팩토리   바. 참가대상 : 에듀테크에 관심있는14세 이상의 대한민국 국민 누구나   사. 시상내역 : 총 상금 1,000만원, 채용특전   아. 문의 : cs@aifactory.page    자. 안내페이지 : https://aifactory.space/competition/detail/2202   3. 세부 프로그램 : 붙임 참조   붙임  포스터 1부.  끝."
